iter	RMSE
0	0.1500341849
1	0.144580167
2	0.1396819085
3	0.135034581
4	0.1306464716
5	0.1265674189
6	0.1225493793
7	0.1192642923
8	0.1153772104
9	0.1117284401
10	0.1082096363
11	0.1048987902
12	0.1017664045
13	0.09890415568
14	0.09604763198
15	0.09350085594
16	0.09088399984
17	0.08833064899
18	0.08597933399
19	0.08391717611
20	0.08175628878
21	0.07978722799
22	0.0778534403
23	0.07613536728
24	0.07441830431
25	0.07284817789
26	0.07124240971
27	0.06980722111
28	0.0683365226
29	0.06699671695
30	0.06577310973
31	0.06461767657
32	0.06361907259
33	0.06249042244
34	0.06153691694
35	0.06054172895
36	0.0595991822
37	0.05874990071
38	0.05792476504
39	0.05733697649
40	0.0566866272
41	0.05599515112
42	0.05540861216
43	0.05480839497
44	0.0542082154
45	0.05363944227
46	0.05312300698
47	0.05266238407
48	0.05221442753
49	0.05178668602
50	0.05141782283
51	0.05100895118
52	0.0506452237
53	0.05030778243
54	0.04998905159
55	0.04969877642
56	0.04940292669
57	0.04915209128
58	0.04892668518
59	0.04869051377
60	0.04847645545
61	0.04826740257
62	0.04803829141
63	0.0478590472
64	0.04765518073
65	0.04748194517
66	0.0472954242
67	0.047135981
68	0.04699234657
69	0.04688574485
70	0.04676406717
71	0.04663212004
72	0.04652316713
73	0.04642949612
74	0.04632367787
75	0.04622454023
76	0.04610885634
77	0.04602996292
78	0.04595334362
79	0.0458376775
80	0.04575102606
81	0.04563953915
82	0.04552895908
83	0.04545455508
84	0.0453844054
85	0.04524902111
86	0.04510571655
87	0.04504253188
88	0.04497965296
89	0.04490076303
90	0.04485475409
91	0.0447665061
92	0.04470081153
93	0.04445275459
94	0.04438050894
95	0.04433643642
96	0.04418801467
97	0.04413517843
98	0.04409386166
99	0.04391390311
100	0.04386152204
101	0.04379780665
102	0.04375192915
103	0.04370236675
104	0.0436655188
105	0.04362330856
106	0.0435191416
107	0.0434882359
108	0.04343880341
109	0.04339832126
110	0.04334958413
111	0.04331785603
112	0.04328240087
113	0.04326150475
114	0.04321589736
115	0.04305745922
116	0.04300240556
117	0.04282824456
118	0.04269796958
119	0.04265794673
120	0.04255851278
121	0.04252516235
122	0.04249261841
123	0.04227797475
124	0.04217623427
125	0.04213222172
126	0.04198738778
127	0.04194985093
128	0.04189383757
129	0.0418334564
130	0.04177246997
131	0.04174494078
132	0.04168913737
133	0.04166743773
134	0.04162793378
135	0.04158564202
136	0.04154011121
137	0.04148353372
138	0.04145185982
139	0.04141808148
140	0.04134897815
141	0.04131385433
142	0.0412766182
143	0.04124017747
144	0.04106214664
145	0.04097193949
146	0.04093370629
147	0.04089129506
148	0.04087770609
149	0.04082495615
150	0.04075118141
151	0.04060122632
152	0.04046301775
153	0.04035578317
154	0.04032658265
155	0.04020055049
156	0.03998433714
157	0.03989532856
158	0.03971869458
159	0.03965541482
160	0.03960610067
161	0.03958105925
162	0.03950514769
163	0.03948527196
164	0.03943141638
165	0.03924223643
166	0.03918028305
167	0.03915175228
168	0.03902015866
169	0.03898223671
170	0.03895426204
171	0.03887842114
172	0.0387955778
173	0.03876164921
174	0.03871155212
175	0.03868640869
176	0.03856138771
177	0.0384961377
178	0.03840980005
179	0.03837074386
180	0.03834614983
181	0.03824954937
182	0.03817127326
183	0.03814415976
184	0.03798764589
185	0.03792114308
186	0.03786591138
